time,N1,N2,N3,N4,N5,N6,N7
14.8,6928.39,4055.4,8632.47,9738.66,9800.63,5478.11,8692.38
14.85,6929.78,4056.8,8633.87,9740.03,9802.02,5479.51,8693.79
14.9,6931.17,4058.19,8635.27,9741.41,9803.41,5480.9,8695.19
14.95,6932.56,4059.58,8636.68,9742.78,9804.8,5482.3,8696.6
15,6933.95,4060.97,8638.08,9744.15,9806.19,5483.69,8698
15.05,6935.34,4062.36,8639.48,9745.53,9807.57,5485.08,8699.41
15.1,6936.72,4063.76,8640.88,9746.9,9808.96,5486.48,8700.81
15.15,6938.11,4065.15,8642.28,9748.27,9810.35,5487.87,8702.22
15.2,6939.5,4066.54,8643.68,9749.65,9811.74,5489.27,8703.62
15.25,6940.89,4067.93,8645.08,9751.02,9813.13,5490.66,8705.03
15.3,6942.28,4069.32,8646.48,9752.39,9814.52,5492.06,8706.43
15.35,6943.67,4070.71,8647.88,9753.76,9815.91,5493.45,8707.84
15.4,6945.06,4072.11,8649.29,9755.14,9817.3,5494.85,8709.24
15.45,6946.45,4073.5,8650.69,9756.51,9818.69,5496.24,8710.65
15.5,6947.84,4074.89,8652.09,9757.88,9820.07,5497.63,8712.05
15.55,6949.22,4076.28,8653.49,9759.26,9821.46,5499.03,8713.46
15.6,6950.61,4077.67,8654.89,9760.63,9822.85,5500.42,8714.86
15.65,6952,4079.07,8656.29,9762,9824.24,5501.82,8716.27
15.7,6953.39,4080.46,8657.69,9763.38,9825.63,5503.21,8717.67
15.75,6954.78,4081.85,8659.09,9764.75,9827.02,5504.61,8719.08
15.8,6956.17,4083.24,8660.49,9766.12,9828.41,5506,8720.48
15.85,6957.56,4084.63,8661.9,9767.5,9829.8,5507.4,8721.89
15.9,6958.95,4086.02,8663.3,9768.87,9831.19,5508.79,8723.29
15.95,6960.34,4087.42,8664.7,9770.24,9832.57,5510.18,8724.7
16,6961.72,4088.81,8666.1,9771.62,9833.96,5511.58,8726.1
16.05,6963.11,4090.2,8667.5,9772.99,9835.35,5512.97,8727.51
16.1,6964.5,4091.59,8668.9,9774.36,9836.74,5514.37,8728.91
16.15,6965.89,4092.98,8670.3,9775.74,9838.13,5515.76,8730.32
16.2,6967.28,4094.38,8671.7,9777.11,9839.52,5517.16,8731.72
16.25,6968.67,4095.77,8673.1,9778.48,9840.91,5518.55,8733.13
