time,N1,N2,N3,N4,N5,N6,N7,N8,N9
10.85,6959.58,5990.06,4775.76,7422.57,603.229,9708.25,370.499,2660.78,3247.03
10.9,6960.99,5991.45,4777.15,7423.96,604.618,9709.64,371.883,2662.17,3248.43
10.95,6962.39,5992.83,4778.54,7425.36,606.007,9711.03,373.266,2663.56,3249.84
11,6963.8,5994.22,4779.94,7426.75,607.396,9712.42,374.649,2664.95,3251.24
11.05,6965.2,5995.61,4781.33,7428.14,608.785,9713.8,376.032,2666.34,3252.64
11.1,6966.6,5997,4782.73,7429.53,610.173,9715.19,377.415,2667.73,3254.05
11.15,6968.01,5998.39,4784.12,7430.93,611.562,9716.58,378.798,2669.12,3255.45
11.2,6969.41,5999.78,4785.52,7432.32,612.951,9717.97,380.181,2670.51,3256.85
11.25,6970.82,6001.17,4786.91,7433.71,614.34,9719.36,381.564,2671.9,3258.26
11.3,6972.22,6002.56,4788.3,7435.1,615.729,9720.75,382.947,2673.29,3259.66
11.35,6973.62,6003.95,4789.7,7436.5,617.118,9722.13,384.331,2674.68,3261.06
11.4,6975.03,6005.33,4791.09,7437.89,618.507,9723.52,385.714,2676.07,3262.47
11.45,6976.43,6006.72,4792.49,7439.28,619.896,9724.91,387.097,2677.46,3263.87
11.5,6977.84,6008.11,4793.88,7440.68,621.285,9726.3,388.48,2678.85,3265.27
11.55,6979.24,6009.5,4795.27,7442.07,622.673,9727.69,389.863,2680.24,3266.68
11.6,6980.64,6010.89,4796.67,7443.46,624.062,9729.08,391.246,2681.63,3268.08
11.65,6982.05,6012.28,4798.06,7444.85,625.451,9730.46,392.629,2683.03,3269.48
11.7,6983.45,6013.67,4799.46,7446.25,626.84,9731.85,394.012,2684.42,3270.89
11.75,6984.86,6015.06,4800.85,7447.64,628.229,9733.24,395.395,2685.81,3272.29
11.8,6986.26,6016.45,4802.25,7449.03,629.618,9734.63,396.779,2687.2,3273.7
11.85,6987.67,6017.83,4803.64,7450.42,631.007,9736.02,398.162,2688.59,3275.1
11.9,6989.07,6019.22,4805.03,7451.82,632.396,9737.41,399.545,2689.98,3276.5
11.95,6990.47,6020.61,4806.43,7453.21,633.785,9738.79,400.928,2691.37,3277.91
12,6991.88,6022,4807.82,7454.6,635.173,9740.18,402.311,2692.76,3279.31
12.05,6993.28,6023.39,4809.22,7456,636.562,9741.57,403.694,2694.15,3280.71
12.1,6994.69,6024.78,4810.61,7457.39,637.951,9742.96,405.077,2695.54,3282.12
12.15,6996.09,6026.17,4812,7458.78,639.34,9744.35,406.46,2696.93,3283.52
12.2,6997.49,6027.56,4813.4,7460.17,640.729,9745.74,407.844,2698.32,3284.92
12.25,6998.9,6028.95,4814.79,7461.57,642.118,9747.13,409.227,2699.71,3286.33
12.3,7000.3,6030.33,4816.19,7462.96,643.507,9748.51,410.61,2701.1,3287.73
12.35,7001.71,6031.72,4817.58,7464.35,644.896,9749.9,411.993,2702.49,3289.13
12.4,7003.11,6033.11,4818.98,7465.74,646.285,9751.29,413.376,2703.88,3290.54
12.45,7004.51,6034.5,4820.37,7467.14,647.673,9752.68,414.759,2705.27,3291.94
12.5,7005.92,6035.89,4821.76,7468.53,649.062,9754.07,416.142,2706.66,3293.34
12.55,7007.32,6037.28,4823.16,7469.92,650.451,9755.46,417.525,2708.05,3294.75
12.6,7008.73,6038.67,4824.55,7471.32,651.84,9756.84,418.909,2709.44,3296.15
12.65,7010.13,6040.06,4825.95,7472.71,653.229,9758.23,420.292,2710.83,3297.55
12.7,7011.54,6041.45,4827.34,7474.1,654.618,9759.62,421.675,2712.22,3298.96
