time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15
6.15,5118.43,3188.89,1054.49,6745.03,7874.01,8678.46,3115.67,9957.3,4154.17,2189.11,5215.87,6924.67,8788.65,652.207,8164.97
6.2,5119.8,3190.28,1055.88,6746.41,7875.4,8679.85,3117.07,9958.69,4155.56,2190.52,5217.26,6926.07,8790.04,653.611,8166.37
6.25,5121.17,3191.68,1057.27,6747.78,7876.79,8681.24,3118.46,9960.08,4156.95,2191.94,5218.65,6927.47,8791.43,655.016,8167.76
6.3,5122.54,3193.07,1058.66,6749.16,7878.18,8682.63,3119.85,9961.47,4158.33,2193.35,5220.03,6928.87,8792.82,656.42,8169.15
6.35,5123.91,3194.47,1060.05,6750.53,7879.57,8684.03,3121.25,9962.86,4159.72,2194.76,5221.42,6930.27,8794.2,657.825,8170.54
6.4,5125.27,3195.86,1061.43,6751.91,7880.96,8685.42,3122.64,9964.25,4161.11,2196.18,5222.81,6931.67,8795.59,659.23,8171.93
6.45,5126.64,3197.25,1062.82,6753.29,7882.35,8686.81,3124.03,9965.64,4162.5,2197.59,5224.2,6933.07,8796.98,660.634,8173.32
6.5,5128.01,3198.65,1064.21,6754.66,7883.75,8688.2,3125.43,9967.04,4163.89,2199.01,5225.59,6934.47,8798.37,662.039,8174.71
6.55,5129.38,3200.04,1065.6,6756.04,7885.14,8689.59,3126.82,9968.43,4165.28,2200.42,5226.98,6935.87,8799.76,663.444,8176.1
6.6,5130.75,3201.44,1066.99,6757.41,7886.53,8690.98,3128.21,9969.82,4166.67,2201.83,5228.37,6937.26,8801.15,664.848,8177.5
6.65,5132.11,3202.83,1068.38,6758.79,7887.92,8692.37,3129.61,9971.21,4168.06,2203.25,5229.76,6938.66,8802.54,666.253,8178.89
6.7,5133.48,3204.22,1069.77,6760.16,7889.31,8693.76,3131,9972.6,4169.44,2204.66,5231.14,6940.06,8803.93,667.657,8180.28
6.75,5134.85,3205.62,1071.16,6761.54,7890.7,8695.15,3132.4,9973.99,4170.83,2206.08,5232.53,6941.46,8805.32,669.062,8181.67
6.8,5136.22,3207.01,1072.55,6762.91,7892.09,8696.54,3133.79,9975.38,4172.22,2207.49,5233.92,6942.86,8806.7,670.467,8183.06
6.85,5137.59,3208.41,1073.93,6764.29,7893.49,8697.94,3135.18,9976.77,4173.61,2208.9,5235.31,6944.26,8808.09,671.871,8184.45
6.9,5138.95,3209.8,1075.32,6765.67,7894.88,8699.33,3136.58,9978.17,4175,2210.32,5236.7,6945.66,8809.48,673.276,8185.84
6.95,5140.32,3211.19,1076.71,6767.04,7896.27,8700.72,3137.97,9979.56,4176.39,2211.73,5238.09,6947.06,8810.87,674.68,8187.23
7,5141.69,3212.59,1078.1,6768.42,7897.66,8702.11,3139.36,9980.95,4177.78,2213.14,5239.48,6948.46,8812.26,676.085,8188.62
7.05,5143.06,3213.98,1079.49,6769.79,7899.05,8703.5,3140.76,9982.34,4179.17,2214.56,5240.87,6949.86,8813.65,677.49,8190.02
7.1,5144.43,3215.38,1080.88,6771.17,7900.44,8704.89,3142.15,9983.73,4180.56,2215.97,5242.25,6951.26,8815.04,678.894,8191.41
7.15,5145.79,3216.77,1082.27,6772.54,7901.83,8706.28,3143.54,9985.12,4181.94,2217.39,5243.64,6952.66,8816.43,680.299,8192.8
7.2,5147.16,3218.16,1083.66,6773.92,7903.22,8707.67,3144.94,9986.51,4183.33,2218.8,5245.03,6954.06,8817.82,681.703,8194.19
7.25,5148.53,3219.56,1085.05,6775.3,7904.62,8709.06,3146.33,9987.9,4184.72,2220.21,5246.42,6955.46,8819.2,683.108,8195.58
7.3,5149.9,3220.95,1086.43,6776.67,7906.01,8710.45,3147.72,9989.3,4186.11,2221.63,5247.81,6956.86,8820.59,684.513,8196.97
7.35,5151.27,3222.35,1087.82,6778.05,7907.4,8711.85,3149.12,9990.69,4187.5,2223.04,5249.2,6958.26,8821.98,685.917,8198.36
7.4,5152.63,3223.74,1089.21,6779.42,7908.79,8713.24,3150.51,9992.08,4188.89,2224.45,5250.59,6959.65,8823.37,687.322,8199.75
7.45,5154,3225.13,1090.6,6780.8,7910.18,8714.63,3151.91,9993.47,4190.28,2225.87,5251.97,6961.05,8824.76,688.726,8201.14
7.5,5155.37,3226.53,1091.99,6782.17,7911.57,8716.02,3153.3,9994.86,4191.67,2227.28,5253.36,6962.45,8826.15,690.131,8202.54
7.55,5156.74,3227.92,1093.38,6783.55,7912.96,8717.41,3154.69,9996.25,4193.06,2228.7,5254.75,6963.85,8827.54,691.536,8203.93
7.6,5158.11,3229.32,1094.77,6784.93,7914.36,8718.8,3156.09,9997.64,4194.44,2230.11,5256.14,6965.25,8828.93,692.94,8205.32
7.65,5159.47,3230.71,1096.16,6786.3,7915.75,8720.19,3157.48,9999.03,4195.83,2231.52,5257.53,6966.65,8830.32,694.345,8206.71
7.7,5160.84,3232.1,1097.55,6787.68,7917.14,8721.58,3158.87,0.424965,4197.22,2232.94,5258.92,6968.05,8831.7,695.75,8208.1
