time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19
5.85,2779.65,2650.41,8966.96,447.45,7285.09,3651.79,3847.51,6177.96,487.164,2293.81,4421.41,7909.55,1955.54,4208.36,8860.62,6669.76,4689.23,6314.38,173.287
5.9,2781.03,2651.79,8968.34,448.843,7286.48,3653.18,3848.9,6179.36,488.555,2295.2,4422.8,7910.95,1956.93,4209.75,8861.99,6671.16,4690.62,6315.77,174.707
5.95,2782.42,2653.16,8969.73,450.235,7287.87,3654.56,3850.29,6180.75,489.946,2296.59,4424.19,7912.34,1958.32,4211.14,8863.36,6672.55,4692.01,6317.16,176.127
6,2783.81,2654.53,8971.12,451.628,7289.26,3655.95,3851.68,6182.14,491.338,2297.98,4425.59,7913.73,1959.71,4212.52,8864.73,6673.95,4693.39,6318.55,177.547
6.05,2785.2,2655.91,8972.51,453.02,7290.65,3657.34,3853.07,6183.53,492.729,2299.37,4426.98,7915.12,1961.1,4213.91,8866.1,6675.35,4694.78,6319.94,178.967
6.1,2786.59,2657.28,8973.9,454.413,7292.04,3658.73,3854.45,6184.92,494.12,2300.76,4428.37,7916.51,1962.49,4215.3,8867.47,6676.75,4696.17,6321.33,180.386
6.15,2787.98,2658.66,8975.29,455.806,7293.43,3660.12,3855.84,6186.31,495.511,2302.15,4429.76,7917.9,1963.88,4216.69,8868.84,6678.14,4697.56,6322.71,181.806
6.2,2789.36,2660.03,8976.68,457.198,7294.82,3661.5,3857.23,6187.7,496.903,2303.54,4431.15,7919.29,1965.27,4218.07,8870.21,6679.54,4698.95,6324.1,183.226
6.25,2790.75,2661.4,8978.07,458.591,7296.2,3662.89,3858.62,6189.09,498.294,2304.93,4432.54,7920.68,1966.66,4219.46,8871.58,6680.94,4700.34,6325.49,184.646
6.3,2792.14,2662.78,8979.46,459.983,7297.59,3664.28,3860.01,6190.48,499.685,2306.32,4433.94,7922.08,1968.05,4220.85,8872.95,6682.33,4701.73,6326.88,186.066
6.35,2793.53,2664.15,8980.84,461.376,7298.98,3665.67,3861.4,6191.88,501.076,2307.71,4435.33,7923.47,1969.44,4222.23,8874.32,6683.73,4703.12,6328.27,187.486
6.4,2794.92,2665.52,8982.23,462.768,7300.37,3667.06,3862.78,6193.27,502.468,2309.1,4436.72,7924.86,1970.83,4223.62,8875.69,6685.13,4704.51,6329.66,188.906
6.45,2796.3,2666.9,8983.62,464.161,7301.76,3668.44,3864.17,6194.66,503.859,2310.49,4438.11,7926.25,1972.22,4225.01,8877.06,6686.53,4705.89,6331.05,190.326
6.5,2797.69,2668.27,8985.01,465.554,7303.15,3669.83,3865.56,6196.05,505.25,2311.88,4439.5,7927.64,1973.61,4226.4,8878.42,6687.92,4707.28,6332.44,191.746
6.55,2799.08,2669.65,8986.4,466.946,7304.54,3671.22,3866.95,6197.44,506.641,2313.27,4440.9,7929.03,1975,4227.78,8879.79,6689.32,4708.67,6333.83,193.166
6.6,2800.47,2671.02,8987.79,468.339,7305.93,3672.61,3868.34,6198.83,508.033,2314.66,4442.29,7930.42,1976.39,4229.17,8881.16,6690.72,4710.06,6335.21,194.586
6.65,2801.86,2672.39,8989.18,469.731,7307.32,3673.99,3869.73,6200.22,509.424,2316.05,4443.68,7931.81,1977.78,4230.56,8882.53,6692.11,4711.45,6336.6,196.006
6.7,2803.24,2673.77,8990.57,471.124,7308.7,3675.38,3871.11,6201.61,510.815,2317.44,4445.07,7933.2,1979.17,4231.95,8883.9,6693.51,4712.84,6337.99,197.426
6.75,2804.63,2675.14,8991.96,472.516,7310.09,3676.77,3872.5,6203,512.206,2318.83,4446.46,7934.6,1980.56,4233.33,8885.27,6694.91,4714.23,6339.38,198.846
6.8,2806.02,2676.51,8993.34,473.909,7311.48,3678.16,3873.89,6204.4,513.598,2320.21,4447.86,7935.99,1981.95,4234.72,8886.64,6696.31,4715.62,6340.77,200.266
6.85,2807.41,2677.89,8994.73,475.302,7312.87,3679.55,3875.28,6205.79,514.989,2321.6,4449.25,7937.38,1983.34,4236.11,8888.01,6697.7,4717.01,6342.16,201.685
6.9,2808.8,2679.26,8996.12,476.694,7314.26,3680.93,3876.67,6207.18,516.38,2322.99,4450.64,7938.77,1984.73,4237.5,8889.38,6699.1,4718.39,6343.55,203.105
