time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
8.8,2013.39,1751.85,2258.7,8703.87,5814.76,1259.85,8472.05,8210.76,5700.71,997.633,4332.82,7802
8.85,2014.78,1753.25,2260.09,8705.27,5816.15,1261.24,8473.44,8212.15,5702.1,999.022,4334.21,7803.38
8.9,2016.17,1754.65,2261.48,8706.66,5817.55,1262.63,8474.83,8213.54,5703.5,1000.41,4335.61,7804.77
8.95,2017.56,1756.05,2262.87,8708.06,5818.94,1264.02,8476.22,8214.93,5704.89,1001.8,4337,7806.16
9,2018.95,1757.44,2264.26,8709.45,5820.33,1265.41,8477.61,8216.32,5706.28,1003.19,4338.39,7807.55
9.05,2020.34,1758.84,2265.65,8710.85,5821.72,1266.8,8479,8217.71,5707.67,1004.58,4339.78,7808.94
9.1,2021.74,1760.24,2267.04,8712.24,5823.12,1268.18,8480.39,8219.1,5709.06,1005.97,4341.17,7810.33
9.15,2023.13,1761.64,2268.42,8713.64,5824.51,1269.57,8481.77,8220.49,5710.45,1007.35,4342.57,7811.72
9.2,2024.52,1763.04,2269.81,8715.04,5825.9,1270.96,8483.16,8221.89,5711.85,1008.74,4343.96,7813.11
9.25,2025.91,1764.44,2271.2,8716.43,5827.3,1272.35,8484.55,8223.28,5713.24,1010.13,4345.35,7814.5
9.3,2027.3,1765.84,2272.59,8717.83,5828.69,1273.74,8485.94,8224.67,5714.63,1011.52,4346.74,7815.88
9.35,2028.69,1767.24,2273.98,8719.22,5830.08,1275.13,8487.33,8226.06,5716.02,1012.91,4348.13,7817.27
9.4,2030.09,1768.64,2275.37,8720.62,5831.47,1276.52,8488.72,8227.45,5717.41,1014.3,4349.53,7818.66
9.45,2031.48,1770.04,2276.76,8722.01,5832.87,1277.91,8490.11,8228.84,5718.8,1015.69,4350.92,7820.05
9.5,2032.87,1771.43,2278.15,8723.41,5834.26,1279.3,8491.5,8230.23,5720.2,1017.08,4352.31,7821.44
9.55,2034.26,1772.83,2279.54,8724.81,5835.65,1280.68,8492.89,8231.62,5721.59,1018.46,4353.7,7822.83
9.6,2035.65,1774.23,2280.92,8726.2,5837.04,1282.07,8494.27,8233.01,5722.98,1019.85,4355.09,7824.22
9.65,2037.04,1775.63,2282.31,8727.6,5838.44,1283.46,8495.66,8234.4,5724.37,1021.24,4356.49,7825.61
9.7,2038.43,1777.03,2283.7,8728.99,5839.83,1284.85,8497.05,8235.8,5725.76,1022.63,4357.88,7827
9.75,2039.83,1778.43,2285.09,8730.39,5841.22,1286.24,8498.44,8237.19,5727.15,1024.02,4359.27,7828.38
9.8,2041.22,1779.83,2286.48,8731.79,5842.61,1287.63,8499.83,8238.58,5728.55,1025.41,4360.66,7829.77
9.85,2042.61,1781.23,2287.87,8733.18,5844.01,1289.02,8501.22,8239.97,5729.94,1026.8,4362.05,7831.16
9.9,2044,1782.63,2289.26,8734.58,5845.4,1290.41,8502.61,8241.36,5731.33,1028.18,4363.45,7832.55
9.95,2045.39,1784.03,2290.65,8735.97,5846.79,1291.8,8504,8242.75,5732.72,1029.57,4364.84,7833.94
10,2046.78,1785.43,2292.04,8737.37,5848.18,1293.18,8505.39,8244.14,5734.11,1030.96,4366.23,7835.33
10.05,2048.17,1786.82,2293.42,8738.76,5849.58,1294.57,8506.77,8245.53,5735.5,1032.35,4367.62,7836.72
10.1,2049.57,1788.22,2294.81,8740.16,5850.97,1295.96,8508.16,8246.92,5736.9,1033.74,4369.01,7838.11
10.15,2050.96,1789.62,2296.2,8741.56,5852.36,1297.35,8509.55,8248.31,5738.29,1035.13,4370.41,7839.5
10.2,2052.35,1791.02,2297.59,8742.95,5853.75,1298.74,8510.94,8249.7,5739.68,1036.52,4371.8,7840.88
10.25,2053.74,1792.42,2298.98,8744.35,5855.15,1300.13,8512.33,8251.1,5741.07,1037.91,4373.19,7842.27
10.3,2055.13,1793.82,2300.37,8745.74,5856.54,1301.52,8513.72,8252.49,5742.46,1039.29,4374.58,7843.66
10.35,2056.52,1795.22,2301.76,8747.14,5857.93,1302.91,8515.11,8253.88,5743.85,1040.68,4375.98,7845.05
10.4,2057.92,1796.62,2303.15,8748.53,5859.33,1304.3,8516.5,8255.27,5745.25,1042.07,4377.37,7846.44
10.45,2059.31,1798.02,2304.54,8749.93,5860.72,1305.68,8517.89,8256.66,5746.64,1043.46,4378.76,7847.83
10.5,2060.7,1799.42,2305.92,8751.33,5862.11,1307.07,8519.27,8258.05,5748.03,1044.85,4380.15,7849.22
10.55,2062.09,1800.82,2307.31,8752.72,5863.5,1308.46,8520.66,8259.44,5749.42,1046.24,4381.54,7850.61
10.6,2063.48,1802.21,2308.7,8754.12,5864.9,1309.85,8522.05,8260.83,5750.81,1047.63,4382.94,7852
10.65,2064.87,1803.61,2310.09,8755.51,5866.29,1311.24,8523.44,8262.22,5752.2,1049.02,4384.33,7853.38
10.7,2066.26,1805.01,2311.48,8756.91,5867.68,1312.63,8524.83,8263.61,5753.6,1050.4,4385.72,7854.77
10.75,2067.66,1806.41,2312.87,8758.3,5869.07,1314.02,8526.22,8265.01,5754.99,1051.79,4387.11,7856.16
10.8,2069.05,1807.81,2314.26,8759.7,5870.47,1315.41,8527.61,8266.4,5756.38,1053.18,4388.5,7857.55
10.85,2070.44,1809.21,2315.65,8761.1,5871.86,1316.8,8529,8267.79,5757.77,1054.57,4389.9,7858.94
10.9,2071.83,1810.61,2317.04,8762.49,5873.25,1318.18,8530.39,8269.18,5759.16,1055.96,4391.29,7860.33
10.95,2073.22,1812.01,2318.42,8763.89,5874.64,1319.57,8531.77,8270.57,5760.55,1057.35,4392.68,7861.72
