time,N1
47.85,209.114
47.9,210.51
47.95,211.906
48,213.302
48.05,214.698
48.1,216.094
48.15,217.49
48.2,218.886
48.25,220.282
48.3,221.679
48.35,223.075
48.4,224.471
48.45,225.867
48.5,227.263
48.55,228.659
48.6,230.055
48.65,231.451
48.7,232.847
48.75,234.243
48.8,235.639
48.85,237.035
48.9,238.432
48.95,239.828
49,241.224
49.05,242.62
49.1,244.016
49.15,245.412
49.2,246.808
49.25,248.204
49.3,249.6
49.35,250.996
49.4,252.392
49.45,253.789
49.5,255.185
49.55,256.581
49.6,257.977
49.65,259.373
49.7,260.769
49.75,262.165
49.8,263.561
49.85,264.957
49.9,266.353
49.95,267.749
50,269.145
50.05,270.542
50.1,271.938
50.15,273.334
50.2,274.73
50.25,276.126
50.3,277.522
50.35,278.918
50.4,280.314
50.45,281.71
50.5,283.106
50.55,284.502
50.6,285.898
50.65,287.295
50.7,288.691
50.75,290.087
50.8,291.483
50.85,292.879
50.9,294.275
50.95,295.671
51,297.067
51.05,298.463
51.1,299.859
51.15,301.255
51.2,302.651
51.25,304.048
51.3,305.444
51.35,306.84
51.4,308.236
51.45,309.632
51.5,311.028
51.55,312.424
51.6,313.82
51.65,315.216
51.7,316.612
51.75,318.008
51.8,319.404
51.85,320.8
51.9,322.197
51.95,323.593
52,324.989
52.05,326.385
52.1,327.781
52.15,329.177
52.2,330.573
52.25,331.969
52.3,333.365
52.35,334.761
52.4,336.157
52.45,337.553
52.5,338.95
52.55,340.346
52.6,341.742
52.65,343.138
52.7,344.534
52.75,345.93
52.8,347.326
52.85,348.722
52.9,350.118
52.95,351.514
53,352.91
53.05,354.306
53.1,355.702
53.15,357.099
53.2,358.495
53.25,359.891
53.3,361.287
53.35,362.683
53.4,364.079
53.45,365.475
53.5,366.871
53.55,368.267
53.6,369.663
53.65,371.059
53.7,372.455
53.75,373.852
53.8,375.248
53.85,376.644
53.9,378.04
53.95,379.436
54,380.832
54.05,382.228
54.1,383.624
54.15,385.02
54.2,386.416
54.25,387.812
54.3,389.208
54.35,390.604
54.4,392.001
54.45,393.397
54.5,394.793
54.55,396.189
54.6,397.585
54.65,398.981
54.7,400.377
54.75,401.773
54.8,403.169
54.85,404.565
54.9,405.961
54.95,407.357
55,408.753
55.05,410.149
55.1,411.546
55.15,412.942
55.2,414.338
55.25,415.734
55.3,417.13
55.35,418.526
55.4,419.922
55.45,421.318
55.5,422.714
55.55,424.11
55.6,425.506
55.65,426.902
55.7,428.298
55.75,429.695
55.8,431.091
55.85,432.487
55.9,433.883
55.95,435.279
56,436.675
56.05,438.071
56.1,439.467
56.15,440.863
56.2,442.259
56.25,443.655
56.3,445.051
56.35,446.447
56.4,447.843
56.45,449.24
56.5,450.636
56.55,452.032
56.6,453.428
56.65,454.824
56.7,456.22
56.75,457.616
56.8,459.012
56.85,460.408
56.9,461.804
56.95,463.2
57,464.596
57.05,465.992
57.1,467.389
57.15,468.785
57.2,470.181
57.25,471.577
57.3,472.973
57.35,474.369
57.4,475.765
57.45,477.161
57.5,478.557
57.55,479.953
57.6,481.349
57.65,482.745
57.7,484.141
57.75,485.537
57.8,486.933
57.85,488.33
57.9,489.726
57.95,491.122
58,492.518
58.05,493.914
58.1,495.31
58.15,496.706
58.2,498.102
58.25,499.498
58.3,500.894
58.35,502.29
58.4,503.686
58.45,505.082
58.5,506.478
58.55,507.875
58.6,509.271
58.65,510.667
58.7,512.063
58.75,513.459
58.8,514.855
58.85,516.251
58.9,517.647
58.95,519.043
59,520.439
59.05,521.835
59.1,523.231
59.15,524.627
59.2,526.023
59.25,527.42
59.3,528.816
59.35,530.212
59.4,531.608
59.45,533.004
59.5,534.4
59.55,535.796
59.6,537.192
59.65,538.588
59.7,539.984
59.75,541.38
59.8,542.776
59.85,544.172
59.9,545.568
59.95,546.964
60,548.361
60.05,549.757
60.1,551.153
60.15,552.549
60.2,553.945
60.25,555.341
60.3,556.737
60.35,558.133
60.4,559.529
60.45,560.925
60.5,562.321
60.55,563.717
60.6,565.113
60.65,566.509
60.7,567.905
60.75,569.301
60.8,570.698
60.85,572.094
60.9,573.49
60.95,574.886
61,576.282
61.05,577.678
61.1,579.074
61.15,580.47
61.2,581.866
61.25,583.262
61.3,584.658
61.35,586.054
61.4,587.45
61.45,588.846
61.5,590.242
61.55,591.639
61.6,593.035
61.65,594.431
61.7,595.827
61.75,597.223
61.8,598.619
