time,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13
7.95,8664.89,2815.46,3146.65,5216.08,8480.55,3014.05,8795.87,7954.49,654.148,4926.78,7195.34,2242.87,919.076
8,8666.29,2816.85,3148.04,5217.47,8481.95,3015.44,8797.26,7955.88,655.538,4928.17,7196.73,2244.26,920.466
8.05,8667.68,2818.24,3149.43,5218.86,8483.34,3016.83,8798.65,7957.27,656.928,4929.56,7198.12,2245.65,921.855
8.1,8669.08,2819.63,3150.82,5220.25,8484.74,3018.22,8800.04,7958.66,658.318,4930.95,7199.51,2247.04,923.244
8.15,8670.47,2821.01,3152.21,5221.64,8486.14,3019.61,8801.43,7960.05,659.708,4932.35,7200.9,2248.43,924.634
8.2,8671.87,2822.4,3153.6,5223.03,8487.54,3021.01,8802.81,7961.44,661.098,4933.74,7202.29,2249.82,926.023
8.25,8673.26,2823.79,3154.99,5224.42,8488.94,3022.4,8804.2,7962.82,662.488,4935.13,7203.68,2251.21,927.412
8.3,8674.66,2825.18,3156.38,5225.81,8490.34,3023.79,8805.59,7964.21,663.877,4936.52,7205.07,2252.6,928.802
8.35,8676.05,2826.57,3157.77,5227.2,8491.74,3025.18,8806.98,7965.6,665.267,4937.91,7206.46,2253.99,930.191
8.4,8677.44,2827.96,3159.15,5228.59,8493.13,3026.57,8808.37,7966.99,666.657,4939.3,7207.85,2255.38,931.58
8.45,8678.84,2829.35,3160.54,5229.98,8494.53,3027.96,8809.76,7968.38,668.047,4940.7,7209.24,2256.77,932.97
8.5,8680.23,2830.74,3161.93,5231.38,8495.93,3029.35,8811.15,7969.77,669.437,4942.09,7210.63,2258.15,934.359
8.55,8681.63,2832.13,3163.32,5232.77,8497.33,3030.74,8812.54,7971.16,670.827,4943.48,7212.02,2259.54,935.748
8.6,8683.02,2833.51,3164.71,5234.16,8498.73,3032.14,8813.93,7972.55,672.217,4944.87,7213.41,2260.93,937.137
8.65,8684.42,2834.9,3166.1,5235.55,8500.13,3033.53,8815.31,7973.94,673.607,4946.26,7214.8,2262.32,938.527
8.7,8685.81,2836.29,3167.49,5236.94,8501.52,3034.92,8816.7,7975.32,674.996,4947.65,7216.19,2263.71,939.916
8.75,8687.21,2837.68,3168.88,5238.33,8502.92,3036.31,8818.09,7976.71,676.386,4949.04,7217.58,2265.1,941.305
8.8,8688.6,2839.07,3170.27,5239.72,8504.32,3037.7,8819.48,7978.1,677.776,4950.44,7218.97,2266.49,942.695
8.85,8690,2840.46,3171.65,5241.11,8505.72,3039.09,8820.87,7979.49,679.166,4951.83,7220.36,2267.88,944.084
8.9,8691.39,2841.85,3173.04,5242.5,8507.12,3040.48,8822.26,7980.88,680.556,4953.22,7221.76,2269.27,945.473
8.95,8692.78,2843.24,3174.43,5243.89,8508.52,3041.87,8823.65,7982.27,681.946,4954.61,7223.15,2270.66,946.863
9,8694.18,2844.63,3175.82,5245.28,8509.92,3043.27,8825.04,7983.66,683.336,4956,7224.54,2272.05,948.252
9.05,8695.57,2846.01,3177.21,5246.67,8511.31,3044.66,8826.43,7985.05,684.726,4957.39,7225.93,2273.44,949.641
9.1,8696.97,2847.4,3178.6,5248.06,8512.71,3046.05,8827.81,7986.44,686.115,4958.79,7227.32,2274.82,951.031
9.15,8698.36,2848.79,3179.99,5249.45,8514.11,3047.44,8829.2,7987.82,687.505,4960.18,7228.71,2276.21,952.42
9.2,8699.76,2850.18,3181.38,5250.84,8515.51,3048.83,8830.59,7989.21,688.895,4961.57,7230.1,2277.6,953.809
9.25,8701.15,2851.57,3182.77,5252.23,8516.91,3050.22,8831.98,7990.6,690.285,4962.96,7231.49,2278.99,955.199
9.3,8702.55,2852.96,3184.15,5253.62,8518.31,3051.61,8833.37,7991.99,691.675,4964.35,7232.88,2280.38,956.588
9.35,8703.94,2854.35,3185.54,5255.02,8519.71,3053.01,8834.76,7993.38,693.065,4965.74,7234.27,2281.77,957.977
9.4,8705.33,2855.74,3186.93,5256.41,8521.1,3054.4,8836.15,7994.77,694.455,4967.14,7235.66,2283.16,959.367
9.45,8706.73,2857.13,3188.32,5257.8,8522.5,3055.79,8837.54,7996.16,695.845,4968.53,7237.05,2284.55,960.756
9.5,8708.12,2858.51,3189.71,5259.19,8523.9,3057.18,8838.93,7997.55,697.234,4969.92,7238.44,2285.94,962.145
9.55,8709.52,2859.9,3191.1,5260.58,8525.3,3058.57,8840.31,7998.94,698.624,4971.31,7239.83,2287.33,963.535
9.6,8710.91,2861.29,3192.49,5261.97,8526.7,3059.96,8841.7,8000.32,700.014,4972.7,7241.22,2288.72,964.924
9.65,8712.31,2862.68,3193.88,5263.36,8528.1,3061.35,8843.09,8001.71,701.404,4974.09,7242.61,2290.11,966.313
9.7,8713.7,2864.07,3195.27,5264.75,8529.5,3062.74,8844.48,8003.1,702.794,4975.48,7244,2291.49,967.702
9.75,8715.1,2865.46,3196.65,5266.14,8530.89,3064.14,8845.87,8004.49,704.184,4976.88,7245.39,2292.88,969.092
9.8,8716.49,2866.85,3198.04,5267.53,8532.29,3065.53,8847.26,8005.88,705.574,4978.27,7246.78,2294.27,970.481
9.85,8717.89,2868.24,3199.43,5268.92,8533.69,3066.92,8848.65,8007.27,706.964,4979.66,7248.17,2295.66,971.87
9.9,8719.28,2869.63,3200.82,5270.31,8535.09,3068.31,8850.04,8008.66,708.353,4981.05,7249.56,2297.05,973.26
9.95,8720.67,2871.01,3202.21,5271.7,8536.49,3069.7,8851.43,8010.05,709.743,4982.44,7250.96,2298.44,974.649
10,8722.07,2872.4,3203.6,5273.09,8537.89,3071.09,8852.81,8011.44,711.133,4983.83,7252.35,2299.83,976.038
10.05,8723.46,2873.79,3204.99,5274.48,8539.28,3072.48,8854.2,8012.82,712.523,4985.23,7253.74,2301.22,977.428
10.1,8724.86,2875.18,3206.38,5275.87,8540.68,3073.88,8855.59,8014.21,713.913,4986.62,7255.13,2302.61,978.817
10.15,8726.25,2876.57,3207.77,5277.26,8542.08,3075.27,8856.98,8015.6,715.303,4988.01,7256.52,2304,980.206
10.2,8727.65,2877.96,3209.15,5278.66,8543.48,3076.66,8858.37,8016.99,716.693,4989.4,7257.91,2305.39,981.596
10.25,8729.04,2879.35,3210.54,5280.05,8544.88,3078.05,8859.76,8018.38,718.083,4990.79,7259.3,2306.78,982.985
